proposal_selectable_id,model_key,orderable_rpo,canonical_selectable_id,match_confidence,match_reasons,label_match_status,description_match_status,review_bucket,triage_status,recommended_action,notes
prop_stingray_mechanical_sl9,stingray,SL9,opt_sl9_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_standard_equipment_sl9,stingray,SL9,opt_sl9_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_slk,stingray,SLK,opt_slk_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_sln,stingray,SLN,opt_sln_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_sng,stingray,SNG,opt_sng_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_interior_sxb,stingray,SXB,opt_sxb_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_interior_sxr,stingray,SXR,opt_sxr_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_interior_sxt,stingray,SXT,opt_sxt_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_tvs,stingray,TVS,opt_tvs_001,high,model_context_and_rpo_match,exact_match,canonical_missing,matched_but_section_mapping_needed,review_required,review_section_mapping,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_vtb,stingray,VTB,opt_vtb_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_vup,stingray,VUP,opt_vup_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_vwd,stingray,VWD,opt_vwd_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_interior_vyw,stingray,VYW,opt_vyw_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_interior_w2d,stingray,W2D,opt_w2d_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_wkq,stingray,WKQ,opt_wkq_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_exterior_wkr,stingray,WKR,opt_wkr_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
prop_stingray_mechanical_zz3,stingray,ZZ3,opt_zz3_001,medium,model_context_and_rpo_match,mismatch,mismatch,label_review_needed,review_required,review_label_update,Existing canonical ID is used for reconciliation only; no apply performed.
