exclusive_group_id,label,scope_condition_set_id,max_selected,conflict_policy,message,priority,active,legacy_group_id,legacy_notes
excl_ls6_engine_covers,LS6 engine covers,,1,block_new_selection,Choose only one LS6 engine cover.,10,true,grp_ls6_engine_covers,LS6 engine cover choices are mutually exclusive within the Engine Appearance section.
excl_center_caps,Center cap choices,,1,block_new_selection,Choose only one center cap choice.,20,true,excl_center_caps,Center cap choices are mutually exclusive within the Wheels section.
excl_suede_trunk_liner,Suede trunk liner choices,,1,block_new_selection,Choose only one suede trunk liner.,30,true,excl_suede_trunk_liner,Suede trunk liner choices are mutually exclusive within the Interior Trim section.
excl_indoor_car_covers,Indoor car covers,,1,block_new_selection,Choose only one indoor car cover.,40,true,excl_indoor_car_covers,"Indoor car cover choices are mutually exclusive within the Aero, Exhaust, Stripes & Accessories section."
excl_outdoor_car_covers,Outdoor car covers,,1,block_new_selection,Choose only one outdoor car cover.,50,true,excl_outdoor_car_covers,"Outdoor car cover choices are mutually exclusive within the Aero, Exhaust, Stripes & Accessories section."
excl_spoiler_high_wing,Spoiler choices,,1,block_new_selection,Choose only one spoiler choice.,60,true,grp_spoiler_high_wing,Spoiler choices are mutually exclusive within the Spoiler section.
