status_rule_id,canonical_option_id,presentation_id,scope_model_year,scope_body_style,scope_trim_level,scope_variant_id,condition_set_id,status,status_label,priority,active,notes
status_qeb_wheels_choice_standard,canonical_qeb,pres_qeb_wheels_choice,,,,,,standard_choice,Standard,10,true,QEB Wheels choice is standard on all Stingray variants.
status_qeb_standard_options_standard,canonical_qeb,pres_qeb_standard_options,,,,,,standard_fixed,Standard,10,true,QEB Standard Options display duplicate is standard on all Stingray variants.
