proposal_selectable_id,proposal_scope,proposal_status,source_sheet,model_key,section_family,orderable_rpo,ref_rpo,proposal_label,description,selectable_source,has_orderable_rpo,has_ref_rpo,review_status,source_ref_ids,notes,proposal_filter_status
prop_stingray_exterior_due,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,DUE,,NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,NEW!  Asymmetrical Santorini Blue/Carbon Flash Full Length Dual Racing Stripes,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:81:163b9126ae|staging_variant_matrix_rows.csv:Exterior 1:81:7140d6fd13|staging_variant_matrix_rows.csv:Exterior 1:81:94631aa3c9|staging_variant_matrix_rows.csv:Exterior 1:81:9473952a60|staging_variant_matrix_rows.csv:Exterior 1:81:d17fb2b969|staging_variant_matrix_rows.csv:Exterior 1:81:de21a4b3c1,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_duk,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,DUK,,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:82:00ed169c61|staging_variant_matrix_rows.csv:Exterior 1:82:456aaaeb4e|staging_variant_matrix_rows.csv:Exterior 1:82:6654a4334f|staging_variant_matrix_rows.csv:Exterior 1:82:d89f7229c7|staging_variant_matrix_rows.csv:Exterior 1:82:e187e22cf3|staging_variant_matrix_rows.csv:Exterior 1:82:ef4a5c8693,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_duw,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,DUW,,Edge Blue Full Length Dual Racing Stripes,Edge Blue Full Length Dual Racing Stripes,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:88:09dc054811|staging_variant_matrix_rows.csv:Exterior 1:88:29bf96df9b|staging_variant_matrix_rows.csv:Exterior 1:88:4ba212186d|staging_variant_matrix_rows.csv:Exterior 1:88:76a2a984b3|staging_variant_matrix_rows.csv:Exterior 1:88:8c380af9dc|staging_variant_matrix_rows.csv:Exterior 1:88:bf5b2397bf,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_dzu,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,DZU,,Carbon Flash/Competition Yellow Stinger Stripe,Carbon Flash/Competition Yellow Stinger Stripe,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:96:1df1c33fc1|staging_variant_matrix_rows.csv:Exterior 1:96:5e5c5e1065|staging_variant_matrix_rows.csv:Exterior 1:96:76b68e6b08|staging_variant_matrix_rows.csv:Exterior 1:96:c64dea5255|staging_variant_matrix_rows.csv:Exterior 1:96:d01aecea97|staging_variant_matrix_rows.csv:Exterior 1:96:d3e7bec890,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_dzv,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,DZV,,Carbon Flash/Midnight Silver Stinger Stripe,Carbon Flash/Midnight Silver Stinger Stripe,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:95:1416182c7e|staging_variant_matrix_rows.csv:Exterior 1:95:2bbd7eabd2|staging_variant_matrix_rows.csv:Exterior 1:95:2daea88be7|staging_variant_matrix_rows.csv:Exterior 1:95:36b805da06|staging_variant_matrix_rows.csv:Exterior 1:95:47f07602f6|staging_variant_matrix_rows.csv:Exterior 1:95:f8e4142db9,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_dzx,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,DZX,,Carbon Flash/Edge Red Stinger Stripe,Carbon Flash/Edge Red Stinger Stripe,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:94:0910259bc6|staging_variant_matrix_rows.csv:Exterior 1:94:24c01825b0|staging_variant_matrix_rows.csv:Exterior 1:94:3feb7a29f7|staging_variant_matrix_rows.csv:Exterior 1:94:7f6283f376|staging_variant_matrix_rows.csv:Exterior 1:94:c501737204|staging_variant_matrix_rows.csv:Exterior 1:94:d1d6f534d5,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_e60,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,E60,,"Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system","Front lift adjustable height with memory, includes (TR7) automatic headlamp leveling system",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:17:13eba72d60|staging_variant_matrix_rows.csv:Exterior 1:17:141e129bc9|staging_variant_matrix_rows.csv:Exterior 1:17:1e2a123690|staging_variant_matrix_rows.csv:Exterior 1:17:70af2b10b0|staging_variant_matrix_rows.csv:Exterior 1:17:c5c21e3232|staging_variant_matrix_rows.csv:Exterior 1:17:eeb31db2c5,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_edu,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,EDU,,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents","Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:16:13a73e7844|staging_variant_matrix_rows.csv:Exterior 1:16:a489c1c90c|staging_variant_matrix_rows.csv:Exterior 1:16:a7de62fea5|staging_variant_matrix_rows.csv:Exterior 1:16:b77e58037f|staging_variant_matrix_rows.csv:Exterior 1:16:be36a80c67|staging_variant_matrix_rows.csv:Exterior 1:16:eda5606a8b,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_efy,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents","Exterior accents, body-color, side vents and front/rear grille accents",primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:15:5ffc318945|staging_variant_matrix_rows.csv:Exterior 1:15:6290cb6b35|staging_variant_matrix_rows.csv:Exterior 1:15:a6fd7dc20a|staging_variant_matrix_rows.csv:Exterior 1:15:a9d5e0df06|staging_variant_matrix_rows.csv:Exterior 1:15:d237e320a0|staging_variant_matrix_rows.csv:Exterior 1:15:fce1767f69,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
prop_stingray_exterior_eyk,primary_matrix_selectable_candidate,proposal_only,Exterior 1,stingray,exterior,EYK,,Chrome Exterior Badge Package,Chrome Exterior Badge Package,primary_variant_matrix,true,false,proposal_only,staging_variant_matrix_rows.csv:Exterior 1:7:38d88fa1a3|staging_variant_matrix_rows.csv:Exterior 1:7:ba9f476392|staging_variant_matrix_rows.csv:Exterior 1:7:c11b62b036|staging_variant_matrix_rows.csv:Exterior 1:7:d32d5665ac|staging_variant_matrix_rows.csv:Exterior 1:7:e174d4336e|staging_variant_matrix_rows.csv:Exterior 1:7:f865c2fbd0,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,confident_subset
