model_key,sheet,excel_row_before_delete,rule_id,source_id,rule_type,target_id,generation_action,normalization_status,runtime_action,skip_reason,action,raw_row_json
stingray,rule_mapping,73,rule_opt_cf8_001_excludes_opt_dpt_001,opt_cf8_001,excludes,opt_dpt_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dpt_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dpt_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,74,rule_opt_cf8_001_excludes_opt_dsy_001,opt_cf8_001,excludes,opt_dsy_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dsy_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dsy_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,75,rule_opt_cf8_001_excludes_opt_dsz_001,opt_cf8_001,excludes,opt_dsz_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dsz_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dsz_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,76,rule_opt_cf8_001_excludes_opt_dt0_001,opt_cf8_001,excludes,opt_dt0_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dt0_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dt0_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,77,rule_opt_cf8_001_excludes_opt_dth_001,opt_cf8_001,excludes,opt_dth_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dth_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dth_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,78,rule_opt_cf8_001_excludes_opt_dub_001,opt_cf8_001,excludes,opt_dub_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_dub_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_dub_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,79,rule_opt_cf8_001_excludes_opt_due_001,opt_cf8_001,excludes,opt_due_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_due_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_due_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,80,rule_opt_cf8_001_excludes_opt_duk_001,opt_cf8_001,excludes,opt_duk_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_duk_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_duk_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,81,rule_opt_cf8_001_excludes_opt_duw_001,opt_cf8_001,excludes,opt_duw_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""1. Not available at start of production. Not available with any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW)."", ""rule_id"": ""rule_opt_cf8_001_excludes_opt_duw_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_cf8_001"", ""source_section"": ""sec_roof_001"", ""source_selection_mode"": ""single_select_req"", ""source_type"": ""main"", ""target_id"": ""opt_duw_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
stingray,rule_mapping,112,rule_opt_pcx_001_excludes_opt_dpb_001,opt_pcx_001,excludes,opt_dpb_001,omit_grouped_exclusion,omitted,,runtime_authored_rule_false,delete,"{""body_style_scope"": """", ""disabled_reason"": """", ""generation_action"": ""omit_grouped_exclusion"", ""normalization_status"": ""omitted"", ""original_detail_raw"": ""includes (5DG) 19\"" front/20\"" rear 20-spoke Tech Bronze aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (SNG) Carbon Flash Metallic with Tech Bronze accent fender hash stripes LPO, Genuine Corvette Accessories 1. Not available with R8C, SPZ, SFE, SPY, S47, EYK, PDV, SB7 or RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX)."", ""rule_id"": ""rule_opt_pcx_001_excludes_opt_dpb_001"", ""rule_type"": ""excludes"", ""runtime_action"": """", ""source_id"": ""opt_pcx_001"", ""source_section"": ""sec_lpoe_001"", ""source_selection_mode"": ""multi_select_opt"", ""source_type"": ""main"", ""target_id"": ""opt_dpb_001"", ""target_section"": ""sec_stri_001"", ""target_selection_mode"": ""single_select_opt"", ""target_type"": ""main""}"
