presentation_id,canonical_option_id,legacy_option_id,rpo_override,presentation_role,section_id,section_name,category_id,category_name,step_key,choice_mode,selection_mode,selection_mode_label,display_order,selectable,active,label,description,source_detail_raw,notes
pres_qeb_wheels_choice,canonical_qeb,opt_qeb_001,,choice,sec_whee_002,Wheels,cat_exte_001,Exterior,wheels,single,single_select_req,Required single choice,10,True,True,,,,QEB customer-facing Wheels choice.
pres_qeb_standard_options,canonical_qeb,opt_qeb_002,,standard_options_display,sec_stan_002,Standard Options,cat_stan_001,Standard Equipment,standard_equipment,display,display_only,Display only,10,False,True,Wheels,"19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 27.9 cm) rear 5-split-spoke Pearl Nickel forged aluminum",,QEB Standard Options display-only duplicate.
