source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Exterior 1:9:6d90f36d27,staging_variant_matrix_rows.csv,Exterior 1,9,stingray_1lt_c07,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",--,D84,,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:9:8311b21db6,staging_variant_matrix_rows.csv,Exterior 1,9,stingray_3lt_c07,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",--,D84,,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:9:947deee43e,staging_variant_matrix_rows.csv,Exterior 1,9,stingray_2lt_c07,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",--,D84,,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:9:f82dc66d47,staging_variant_matrix_rows.csv,Exterior 1,9,stingray_2lt_c67,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black.",A1,D84,,"Convertible top, Carbon Flash-painted nacelles and roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:10:04884872ab,staging_variant_matrix_rows.csv,Exterior 1,10,stingray_3lt_c67,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",A1,D86,,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:10:506ad1cda2,staging_variant_matrix_rows.csv,Exterior 1,10,stingray_1lt_c67,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",A1,D86,,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:10:bc9a6bf478,staging_variant_matrix_rows.csv,Exterior 1,10,stingray_2lt_c67,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",A1,D86,,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:10:cafe765cb8,staging_variant_matrix_rows.csv,Exterior 1,10,stingray_1lt_c07,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",--,D86,,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:10:d8bb09b6e1,staging_variant_matrix_rows.csv,Exterior 1,10,stingray_3lt_c07,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",--,D86,,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
staging_variant_matrix_rows.csv:Exterior 1:10:dbf2ae6f31,staging_variant_matrix_rows.csv,Exterior 1,10,stingray_2lt_c07,variant_matrix_row,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black.",--,D86,,"Convertible top, Carbon Flash-painted nacelles and body-color roof
1. Not available with exterior color (GBA) Black."
