level0,level1,level2,level3,level4,level5,interior_id
,,,,Natural Two Tone,,3LT_AH2_HUE_TU7
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Natural Suede,,3LT_AH2_HTG_N26
,,,,Natural Suede Two Tone,,3LT_AH2_HTG_N26_TU7
,,Natural Dipped,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Natural Dipped,,3LT_AH2_HZN
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Natural Dipped Suede,,3LT_AH2_HUF_N26
,,"Santorini Blue (only one option, so no need for an expandable card)",,,,
,,,Santorini Blue,,,3LT_AH2_H8T
,,Santorini Blue Dipped with Torch Red accents,,,,
,,,Santorini Blue Dipped with Torch Red accents,,,3LT_AH2_EL9
,,Habanero,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Habanero,,3LT_AH2_HUW
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Habanero Suede,,3LT_AH2_HUX_N26
,,Very Dark Atmosphere,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Very Dark Atmosphere,,3LT_AH2_EJH
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Very Dark Atmosphere Suede,,3LT_AH2_EPX_N26
,,Ultimate Suede Jet Black,,,,
,,,Napa leather seating surfaces with perforated inserts.,,,
,,,,Ultimate Suede Jet Black,,3LT_AH2_HUC
,,,,Ultimate Suede Jet Black with Yellow Stitching,,3LT_AH2_HUC_36S
,,,,Ultimate Suede Jet Black with Blue Stitching,,3LT_AH2_HUC_37S
,,,,Ultimate Suede Jet Black with Red Stitching,,3LT_AH2_HUC_38S
,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,,
,,,,Ultimate Suede Jet Black suede,,3LT_AH2_HUB_N26
,,,,Ultimate Suede Jet Black suede with Yellow Stitching,,3LT_AH2_HUB_N26_36S
,,,,Ultimate Suede Jet Black suede with Blue Stitching,,3LT_AH2_HUB_N26_37S
,,,,Ultimate Suede Jet Black suede with Red Stitching,,3LT_AH2_HUB_N26_38S
,,"Asymmetrical Adrenaline Red / Jet Black (only one option, so no need for an expandable card)",,,,
,,,Asymmetrical Adrenaline Red / Jet Black,,,3LT_AH2_HVZ
,,"Asymmetrical Santorini Blue / Jet Black (only one option, so no need for an expandable card)",,,,
,,,Asymmetrical Santorini Blue / Jet Black,,,3LT_AH2_HAG
,,Custom Interior trim and seat combinations,,,,
,,,Sky Cool Gray interior / Jet Black seats,,,
,,,,Napa leather seating surfaces with perforated inserts.,,
,,,,,Sky Cool Gray interior / Jet Black seats (HZB),3LT_R6X_AH2_HZB
,,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,
,,,,,Sky Cool Gray interior / Jet Black seats Suede (HVT),3LT_R6X_AH2_HVT_N26
,,,Jet Black interior / Sky Cool Gray seats,,,
,,,,Napa leather seating surfaces with perforated inserts.,,
,,,,,Jet Black interior / Sky Cool Gray seats (HVV),3LT_R6X_AH2_HVV
,,,,,Jet Black interior / Sky Cool Gray seats Two Tone,3LT_R6X_AH2_HVV_TU7
,,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,
,,,,,Jet Black interior / Sky Cool Gray seats Suede,3LT_R6X_AH2_HMO_N26
,,,,,Jet Black interior / Sky Cool Gray seats Suede Two Tone,3LT_R6X_AH2_HMO_N26_TU7
,,,Adrenaline Red interior / Jet Black seats,,,
,,,,Napa leather seating surfaces with perforated inserts.,,
,,,,,Adrenaline Red interior / Jet Black seats (HUU),3LT_R6X_AH2_HUU
,,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,
,,,,,Adrenaline Red interior / Jet Black seats Suede ,3LT_R6X_AH2_HZP_N26
,,,Jet Black interior / Adrenaline Red seats,,,
,,,,Napa leather seating surfaces with perforated inserts.,,
,,,,,Jet Black interior / Adrenaline Red seats,3LT_R6X_AH2_HU0_38S
,,,,,Jet Black interior / Adrenaline Red seats Two Tone,3LT_R6X_AH2_HU0_38S_TU7
,,,,Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel.,,
,,,,,Jet Black interior / Adrenaline Red seats Suede HXO,3LT_R6X_AH2_HXO_N26_38S_TU7
,AUP Assymetrical seats,,,,,
,,Asymmetrical Santorini Blue / Jet Black,,,,3LT_AUP_HAG
,,Asymmetrical Adrenaline Red / Jet Black,,,,3LT_AUP_HVZ
,AE4 Competition Seats,,,,,
