source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,trim_level,seat_type,seat_code,seat_trim_raw,seat_trim,interior_color_name,interior_rpo_raw,interior_rpo,footnote_refs,footnote_scope,confidence,source_detail_raw
Color and Trim 1,9,F9,corvette,,needs_review,model_global,"2LT, 2LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts5,Napa leather seating surfaces with perforated sueded microfiber inserts,Sky Cool Gray,HU6,HU6,1|5,interior_color_header|seat_trim,high,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,G9,corvette,,needs_review,model_global,"2LT, 2LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts5,Napa leather seating surfaces with perforated sueded microfiber inserts,Adrenaline Red,HU76,HU7,2|5|6,interior_color_header|seat_trim|interior_rpo,medium,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,9,I9,corvette,,needs_review,model_global,"2LT, 2LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts5,Napa leather seating surfaces with perforated sueded microfiber inserts,Natural,HTQ,HTQ,2|5,interior_color_header|seat_trim,high,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts5"",""HTP"",""HU6"",""HU76"",""--"",""HTQ"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,10,E10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Jet Black,HTE,HTE,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,F10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Sky Cool Gray,HU1,HU1,1,interior_color_header,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,G10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Adrenaline Red,HU2,HU2,2,interior_color_header,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,H10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Adrenaline Red Dipped,HNK,HNK,3,interior_color_header,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,I10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Natural,HUE,HUE,2,interior_color_header,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,J10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Natural Dipped,HZN,HZN,4,interior_color_header,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,K10,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Santorini Blue,H8T,H8T,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
