source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,exterior_color_name_raw,exterior_color_name,exterior_color_rpo_raw,exterior_color_rpo,touch_up_paint_code,interior_rpo_raw,interior_rpo,interior_footnote_refs,interior_footnote_scope,raw_status,status_symbol,footnote_refs,canonical_status,confidence,source_detail_raw
Color and Trim 1,17,E17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Jet Black
en-us",Jet Black,,,A,A,,available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,F17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Sky Cool Gray1
en-us",Sky Cool Gray,1,interior_color_header,A,A,,available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,G17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Adrenaline Red2
en-us",Adrenaline Red,2,interior_color_header,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,H17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Adrenaline Red Dipped3
en-us",Adrenaline Red Dipped,3,interior_color_header,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,I17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Natural2
en-us",Natural,2,interior_color_header,A,A,,available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,J17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Natural Dipped4
en-us",Natural Dipped,4,interior_color_header,A,A,,available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,K17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Santorini Blue
en-us",Santorini Blue,,,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,L17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Habanero
en-us",Habanero,,,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,M17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Very Dark Atmosphere
en-us",Very Dark Atmosphere,,,--,--,,not_available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
Color and Trim 1,17,N17,corvette,,needs_review,model_global,Roswell Green Metallic10,Roswell Green Metallic,G4Z,G4Z,WA-247L,"Ultimate Suede Jet Black
en-us",Ultimate Suede Jet Black,,,A,A,,available,high,"[""Roswell Green Metallic10"","""",""G4Z"",""WA-247L"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--"",""A"",""--"",""--"",""--""]"
