source_sheet,source_row,guide_family,model_key,scope_type,exterior_color_rpo,exterior_color_name,interior_code,interior_label,seat_code,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Color and Trim 1,10,corvette,,model_global,,,HTE,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HU1,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,1,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HU2,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,2,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HNK,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,3,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HUE,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,2,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HZN,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,4,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,H8T,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HUW,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,EJH,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,10,corvette,,model_global,,,HUC,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]"
